time,altitude,acceleration
379.699,539.1161231,9.71839015
379.859,537.7750686,9.022118
380.018,535.6720512,7.95319315
380.179,533.5324596,9.11037785
380.358,530.8838769,10.9049948
380.558,528.0310881,7.4726673
380.721,525.7451996,7.60015375
380.914,522.5998171,6.16838285
381.058,520.8412069,14.3961622
381.218,519.180128,14.58248855
381.379,518.0158488,12.32695905
381.542,516.147516,10.71866845
381.718,514.09936,10.11065615
381.878,512.2188357,8.93385815
382.037,510.0060957,11.0619012
382.197,507.8390735,10.0223963
382.353,506.2206644,10.97364135
382.513,504.0841207,16.70072495
382.674,501.2983846,9.26728425
382.834,498.2962511,11.32668075
383.001,495.123438,11.62088025
383.173,492.6181042,11.01286795
383.323,490.8930204,10.8461549
383.486,489.1313624,8.79656505
383.653,486.4980189,8.2179727
383.796,483.8768668,7.87473995
383.939,482.1975008,7.4334407
384.103,480.1005791,8.2179727
384.253,478.0920451,9.63993695
384.396,476.6778421,11.76798
384.542,474.6449253,15.15127425
384.692,472.5571472,11.26784085
384.861,470.5516611,9.5516771
385.037,468.4090216,7.67860695
385.193,466.2480951,8.9240515
385.353,464.4163365,9.52225715
385.521,462.9046023,16.01425945
385.697,461.7738494,9.56148375
385.857,460.4876562,13.1801376
386.013,458.7442853,10.002783
386.163,457.0953977,10.6892485
386.306,455.7025297,7.5315072
386.457,453.7976227,10.77750835
386.654,450.9265468,9.28689755
386.796,448.832673,10.7088618
386.942,445.9981713,10.65982855
387.092,443.0996647,11.48358715
387.254,440.3779336,11.1207411
387.437,438.1042365,11.1011278
387.594,436.2359037,11.1599677
387.754,434.6083511,11.38552065
387.914,432.5906736,11.75817335
388.081,429.8232246,15.42586045
388.259,427.357513,10.2381426
388.414,424.651021,11.52281375
388.563,422.2523621,10.8657682
388.726,420.0091436,9.4339973
388.884,417.4215178,10.1596894
389.054,414.5108199,11.1207411
389.197,412.6790613,9.93413645
389.351,410.1188662,8.1395195
389.544,408.3511125,10.8265416
389.686,406.8210911,9.73800345
389.833,405.6659555,7.93357985
389.982,403.7244742,6.46258235
390.144,401.8530936,9.73800345
390.307,400.7832978,13.4154972
390.474,399.7836026,14.40596885
390.615,398.1438586,13.69989005
390.77,396.6290765,13.0232312
390.964,395.6446205,11.40513395
391.106,394.0963121,10.4931155
391.253,392.4017068,10.38524235
391.427,390.2834502,10.79712165
391.587,387.7202073,11.2972608
391.751,384.3370923,37.49082295
391.944,382.0755867,11.42474725
392.087,379.8750381,7.4726673
392.248,377.131972,7.4334407
392.408,374.7363609,8.7279185
392.568,372.8558366,8.6494653
392.724,371.6001219,6.0212831
392.884,369.753124,5.36423755
393.044,367.8725998,5.52114395
393.204,365.8427309,5.4328841
393.364,363.7244742,12.3759923
393.507,362.5754343,16.72033825
393.667,360.9448339,16.09271265
393.828,358.8875343,17.89713625
393.987,356.6900335,61.9388014
394.148,354.9679976,19.2994872
394.304,356.4705882,9.1005712
394.464,354.8887534,0.83356525
394.624,353.0569948,7.61976705
394.784,350.8473027,17.7500365
394.928,349.4910088,18.2599823
395.088,348.217007,9.9635564
395.25,346.6412679,9.4732239
395.416,345.5501372,12.748645
395.563,341.6671746,15.01398115
395.724,340.73758,10.6107953
395.884,341.4934471,10.34601575
396.044,340.5486132,12.8074849
396.204,339.5824444,9.80665
396.347,338.7199025,8.34545915
396.508,338.012801,10.77750835
396.668,336.967388,9.87529655
396.828,336.126181,11.44436055
396.988,335.3642182,10.002783
397.144,333.0508991,11.964113
397.304,332.1761658,11.30706745
397.464,331.2679061,11.77778665
397.624,330.4084121,10.36562905
397.768,329.6769278,11.54242705
397.928,329.5733008,9.8458766
398.088,328.5918927,14.64132845
398.25,327.5830539,10.3754357
398.412,326.5345931,11.0030613
398.555,325.635477,8.1787461
398.724,324.7058824,9.54187045
398.884,323.6848522,11.46397385
399.044,322.5480037,11.24822755
399.227,320.8351112,10.18910935
399.384,319.8750381,10.395049
399.544,319.0307833,10.6500219
399.704,318.1072844,10.93441475
399.87,317.275221,10.8657682
400.034,316.455349,10.28717585
400.194,315.470893,9.8654899
400.336,314.4315757,10.97364135
400.487,313.5690338,10.2773692
400.684,312.3712283,11.179581
400.844,310.8869247,10.395049
401.031,309.8445596,9.60071035
401.224,308.7229503,10.93441475
401.411,307.6592502,10.97364135
401.631,306.7784212,11.1207411
401.824,305.8518744,9.1005712
401.968,305.2118257,10.73828175
402.128,304.8887534,11.6895268
402.288,303.8707711,11.375714
402.447,302.8924109,10.22833595
402.604,301.8530936,10.3558224
402.764,300.7711064,10.91480145
402.925,299.8110332,9.69877685
403.084,298.9789698,11.1991943
403.253,298.0219445,10.4931155
403.428,297.0923499,11.56204035
403.584,296.2419994,9.0025047
403.744,295.388601,9.63993695
403.904,294.5931119,11.34629405
404.064,293.8860104,9.14960445
404.207,293.2307223,10.13026945
404.369,292.4047546,8.71811185
404.528,291.4477294,11.3168741
404.687,290.4754648,11.52281375
404.848,289.4513868,10.002783
405.004,288.7107589,11.7875933
405.164,287.9244133,9.8262633
405.324,286.9643401,10.8265416
405.484,286.1658031,9.7478101
405.627,285.1813472,12.67999845
405.789,284.3309966,10.13026945
405.968,283.4715026,9.9243298
406.151,282.3590369,10.30678915
406.327,281.310576,10.46369555
406.487,280.3779336,10.67944185
406.651,279.3965254,9.6889702
406.871,278.3663517,10.0223963
407.064,277.2477903,9.95374975
407.207,276.5955501,10.22833595
407.369,275.7665346,9.0613446
407.555,274.876562,10.07142955
407.705,274.1450777,10.54214875
407.852,273.5141725,9.80665
407.996,272.7217312,9.79684335
408.164,271.9201463,10.2773692
408.331,270.9996952,10.3362091
408.503,270.2956416,10.73828175
